Brand,รุ่นรถ,รุ่นรถ2,Powertrain
AION,AION ES,AION ES,BEV Major
AION,AION UT 420 STANDARD,AION UT,BEV Major
AION,AION UT 500 PREMIUM,AION UT,BEV Major
AION,AION V 500 PREMIUM,AION V,BEV Major
AION,AION V 505 PREMIUM,AION V,BEV Major
AION,AION V 602 LUXURY,AION V,BEV Major
AION,AION Y PLUS,AION Y,BEV Major
AION,AION Y PLUS 410 PREMIUM,AION Y,BEV Major
AION,AION Y PLUS 490 PREMIUM,AION Y,BEV Major
AION,HYPTEC HT 620 LUXURY,HYPTEC HT,BEV Major
AION,HYPTEC HT 620 PREMIUM,HYPTEC HT,BEV Major
AION,HYPTEC SSR,HYPTEC HT,BEV Major
GAC,AION S,AION S,BEV Major
GAC,M8 PHEV PREMIUM,M8,OTH
AVATR,AVATR 07 MAX,AVATR 07,BEV Major
AVATR,AVATR 07 ULTRA AWD,AVATR 07,BEV Major
AVATR,AVATR 11 ROYAL EDITION,AVATR 11,BEV Major
AVATR,AVATR 11 LONG RANGE,AVATR 11,BEV Major
AVATR,AVATR 11 STANDARD RANGE,AVATR 11,BEV Major
BYD,BYD ATTO 1 PREMIUM,BYD ATTO 1,BEV Major
BYD,BYD ATTO 1 DYNAMIC,BYD ATTO 1,BEV Major
BYD,BYD ATTO 2 PREMIUM,BYD ATTO 2,BEV Major
BYD,BYD ATTO 2 DYNAMIC,BYD ATTO 2,BEV Major
BYD,BYD ATTO 3,BYD ATTO 3,BEV Major
BYD,BYD ATTO 3 (410KM),BYD ATTO 3,BEV Major
BYD,BYD ATTO3 (410KM-DYNAMIC),BYD ATTO 3,BEV Major
BYD,BYD ATTO3 (410KM-PREMIUM),BYD ATTO 3,BEV Major
BYD,BYD ATTO3 (480KM-EXT),BYD ATTO 3,BEV Major
BYD,BYD DOLPHIN (435KM-STD),BYD DOLPHIN,BEV Major
BYD,BYD DOLPHIN (490KM-EXT),BYD DOLPHIN,BEV Major
BYD,BYD DOLPHIN EXD,BYD DOLPHIN,BEV Major
BYD,BYD DOLPHIN STD,BYD DOLPHIN,BEV Major
BYD,BYD M6 DYNAMIC,BYD M6,BEV Major
BYD,BYD M6 EXTENDED,BYD M6,BEV Major
BYD,BYD SEAL 5 DM-i,BYD SEAL 5 DM-i,OTH
BYD,BYD SEAL 5 DM-i PREMIUM,BYD SEAL 5 DM-i,OTH
BYD,BYD SEAL 5 DM-i STANDARD,BYD SEAL 5 DM-i,OTH
BYD,BYD SEAL 5 DM-i DYNAMIC,BYD SEAL 5 DM-i,OTH
BYD,BYD SEAL 6 PREMIUM,BYD SEAL 6,BEV Major
BYD,BYD SEAL 6 DYNAMIC,BYD SEAL 6,BEV Major
BYD,BYD SEAL EXD AWD,BYD SEAL,BEV Major
BYD,BYD SEAL EXD RWD,BYD SEAL,BEV Major
BYD,BYD SEAL STD RWD,BYD SEAL,BEV Major
BYD,BYD SEAL U (DMI-PREMIUM),BYD SEAL,BEV Major
BYD,BYD SEALION 6,BYD SEALION 6,OTH
BYD,BYD SEALION 6 DM-i DYNAMIC,BYD SEALION 6,OTH
BYD,BYD SEALION 6 DM-i PREMIUM,BYD SEALION 6,OTH
BYD,BYD SEALION 7 AWD,BYD SEALION 7,BEV Major
BYD,BYD SEALION 7 RWD,BYD SEALION 7,BEV Major
BYD,DOLPHIN FREEDOM,BYD DOLPHIN,BEV Major
BYD,E6,E6,BEV Major
BYD,M3,M3,BEV Major
BYD,T3,T3,BEV Major
BYD,TANG EV,TANG EV,BEV Major
CHERY,EQ1,EQ1,BEV Major
CHERY,Tiggo 2.0,Tiggo 2.0,BEV Major
CHERY,V23 2WD PLAY,V23,BEV Major
CHERY,V23 2WD PLUS,V23,BEV Major
CHERY,V23 4WD PEAK,V23,BEV Major
CHERY,TIGGO8 PHEV 2WD ESTEEM,TIGGO8 PHEV,OTH
CHERY,TIGGO8 PHEV 4WD ELITE,TIGGO8 PHEV,OTH
Deepal+ChangAn,E07 PERFORMANCE AWD,E07,BEV Major
Deepal+ChangAn,E07 PLUS,E07,BEV Major
Deepal+ChangAn,HUNTER K50,HUNTER K50,OTH
Deepal+ChangAn,L07,L07,BEV Major
Deepal+ChangAn,L07 S,L07,BEV Major
Deepal+ChangAn,LUMIN,LUMIN,BEV Major
Deepal+ChangAn,LUMIN L DC,LUMIN,BEV Major
Deepal+ChangAn,S05 MAX LONG RANGE,S05 BEV,BEV Major
Deepal+ChangAn,S05 MAX,S05 BEV,BEV Major
Deepal+ChangAn,S05 PLUS,S05 BEV,BEV Major
Deepal+ChangAn,S05 REEV MAX,S05 REEV,OTH
Deepal+ChangAn,S07,S07,BEV Major
Deepal+ChangAn,S07 L,S07,BEV Major
Deepal+ChangAn,STAR TRUCK 1.0 5MT,STAR TRUCK,BEV Major
Deepal+ChangAn,STAR TRUCK 1.3 5MT,STAR TRUCK,BEV Major
DENZA,DENZA D9 AWD,DENZA D9,BEV Major
DENZA,DENZA D9 FWD,DENZA D9,BEV Major
GEELY,EX2,EX2,BEV Major
GEELY,EX5,EX5,BEV Major
GEELY,GALAXY E5,GALAXY E5,BEV Major
GWM,GOOD CAT,GOOD CAT,BEV Major
GWM,GRAND CAT,ORA 07,BEV Major
GWM,ORA 07,ORA 07,BEV Major
GWM,POER,POER,BEV Major
GWM,POER SAHAR,POER SAHAR,BEV Major
HONDA,e:N1,e:N1,BEV Major
HYUNDAI,IONIQ EV,IONIQ EV,BEV Major
HYUNDAI,IONIQ5,IONIQ5,BEV Major
HYUNDAI,IONIQ5 N,IONIQ5,BEV Major
HYUNDAI,IONIQ5 N LINE,IONIQ5,BEV Major
HYUNDAI,IONIQ6,IONIQ6,BEV Major
JAECOO,5 EV Long Range Dynamic,5 EV,BEV Major
JAECOO,5 EV Long Range Max,5 EV,BEV Major
JAECOO,6 EV Long Range 2WD,6 EV,BEV Major
JAECOO,6 EV Long Range 2WD PRO,6 EV,BEV Major
JAECOO,6 EV Long Range 4WD,6 EV,BEV Major
JAECOO,6T EV Long Range 4WD,6 EV,BEV Major
JAECOO,7 SHS Max,7 SHS Max,OTH
JUNEYAO,JY AIR Plus,JY AIR,BEV Major
JUNEYAO,JY AIR Standard,JY AIR,BEV Major
KIA,EV5,EV5,BEV Major
KIA,EV6,EV6,BEV Major
KIA,EV9 EARTH LONG RANGE,EV9,BEV Major
KIA,EV9 GT LINE AWD,EV9,BEV Major
KIA,EV9 GT-LINE,EV9,BEV Major
LEAPMOTOR,B10 Design BEV,B10,BEV Major
LEAPMOTOR,B10 Life BEV,B10,BEV Major
LEAPMOTOR,B10 Style BEV,B10,BEV Major
LEAPMOTOR,C10 EV,C10,BEV Major
LEXUS,RZ450E,RZ450E,BEV Major
LEXUS,UX250h,UX250h,BEV Major
LEXUS,UX300E,UX300E,BEV Major
LEXUS,UX300H,UX300H,BEV Major
LUMIN,CHANGAN LUMIN SWEET,LUMIN,BEV Major
MERCEDES BENZ,EQB 250,EQB,BEV
MERCEDES BENZ,EQB 250+,EQB,BEV
MERCEDES BENZ,EQE 300,EQE,BEV
MERCEDES BENZ,EQE 300 PREMIUM PLUS,EQE,BEV
MERCEDES BENZ,EQE 350 4MATIC SUV,EQE,BEV
MERCEDES BENZ,EQE 350+,EQE,BEV
MERCEDES BENZ,EQS 450,EQS,BEV
MERCEDES BENZ,EQS 450 4MATIC SUV,EQS,BEV
MERCEDES BENZ,EQS 450 PLUS,EQS,BEV
MERCEDES BENZ,EQS 450+,EQS,BEV
MERCEDES BENZ,EQS 500 4MATIC,EQS,BEV
MERCEDES BENZ,EQS 500 4MATIC SUV,EQS,BEV
MINI,Aceman SE RHD,Aceman SE,BEV
MINI,COOPER ELECTRIC,Cooper SE,BEV
MINI,COOPER ELECTRIC LEVEL 3,Cooper SE,BEV
MINI,Cooper SE Hatch RHD,Cooper SE,BEV
MINI,Cooper SE RHD,Cooper SE,BEV
MINI,Countryman SE ALL4 RHD,Countryman SE,BEV
MINI,ELECTRIC CONVERTIBLE,ELECTRIC CONVERTIBLE,BEV
MINI,JCW Aceman E,JCW Aceman E,BEV
MINI,JCW E,JCW E,BEV
NETA,NETA V,NETA V,BEV Major
NETA,NETA V-II,NETA V-II,BEV Major
NETA,NETA X,NETA X,BEV Major
NISSAN,LEAF,LEAF,BEV
OMODA,C5 EV Long Range Dynamic,C5 EV,BEV Major
OMODA,C5 EV Long Range Max,C5 EV,BEV Major
OMODA,C5 EV Long Range Plus,C5 EV,BEV Major
OMODA,C5 EV Long Range Ultimate,C5 EV,BEV Major
RIDDARA,HORIZON 4WD,HORIZON,BEV Major
RIDDARA,HORIZON PRO 4WD,HORIZON,BEV Major
RIDDARA,HORIZON PRO 4WD SUNROOF,HORIZON,BEV Major
RIDDARA,RD6 2WD,RD6,BEV Major
RIDDARA,RD6 86KWH 2WD,RD6,BEV Major
RIDDARA,RD6 ECON,RD6,BEV Major
RIDDARA,RD6 PRO 2WD,RD6,BEV Major
TESLA,MODEL 3,MODEL 3,BEV Major
TESLA,MODEL 3 LONG RANGE,MODEL 3,BEV Major
TESLA,MODEL 3 LONG RANGE PLUS,MODEL 3,BEV Major
TESLA,Model 3 Long Range RWD,MODEL 3,BEV Major
TESLA,MODEL 3 PERFORMANCE,MODEL 3,BEV Major
TESLA,MODEL 3 REAR WHEEL DRIVE,MODEL 3,BEV Major
TESLA,Model 3 Rear-Wheel Drive,MODEL 3,BEV Major
TESLA,MODEL 3 RWD,MODEL 3,BEV Major
TESLA,MODEL 3 STANDARD,MODEL 3,BEV Major
TESLA,MODEL 3 STANDARD PLUS,MODEL 3,BEV Major
TESLA,MODEL 3 STANDARD PLUS RWD,MODEL 3,BEV Major
TESLA,MODEL 3 STANDARD RANGE,MODEL 3,BEV Major
TESLA,MODEL 3 STANDARD RANGE PLUS,MODEL 3,BEV Major
TESLA,MODEL S LONG RANGE,MODEL S,BEV Major
TESLA,MODEL S PERFORMANCE,MODEL S,BEV Major
TESLA,MODEL X 100D,MODEL X,BEV Major
TESLA,MODEL X LONG RANGE,MODEL X,BEV Major
TESLA,MODEL X LONG RANGE PLUS,MODEL X,BEV Major
TESLA,MODEL X PERFORMANCE,MODEL X,BEV Major
TESLA,MODEL Y LONG RANGE,MODEL Y,BEV Major
TESLA,MODEL Y LONG RANGE DUAL MOTOR,MODEL Y,BEV Major
TESLA,MODEL Y PERFORMANCE,MODEL Y,BEV Major
TESLA,MODEL Y REAR WHEEL DRIVE,MODEL Y,BEV Major
TESLA,Model Y Rear-Wheel Drive,MODEL Y,BEV Major
TESLA,MODEL Y RWD,MODEL Y,BEV Major
TESLA,MODEL Y STANDARD,MODEL Y,BEV Major
TESLA,MODEL Y STANDARD RANGE,MODEL Y,BEV Major
TESLA,MODEL3 LONG RANGE PER,MODEL 3,BEV Major
TESLA,MODEL3 LONG RANGE PERFORMANCE,MODEL 3,BEV Major
TESLA,Model Y L,MODEL Y,BEV Major
TESLA,Model Y Long Range RWD,MODEL Y,BEV Major
TOYOTA,BZ4X,BZ4X,BEV Major
VOLVO,EC40,EC40,BEV
VOLVO,EX30,EX30,BEV
VOLVO,EX40,EX40,BEV
VOLVO,EX90,EX90,BEV
WULING,Air EV LR,Air EV,BEV Major
WULING,Air EV SR,Air EV,BEV Major
WULING,Bingou SRD,Bingou,BEV Major
WULING,Bingou SRDTH CCS2,Bingou,BEV Major
WULING,Binguo SRD,Bingou,BEV Major
WULING,Binguo SRDTH,Bingou,BEV Major
XIAOMI,SU7 MAX,SU7 MAX,BEV Major
XPENG,G6 AWD Performance,G6,BEV Major
XPENG,G6 LONG RANGE,G6,BEV Major
XPENG,G6 RWD Long Range,G6,BEV Major
XPENG,G6 RWD Standard Range,G6,BEV Major
XPENG,G6 STANDARD RANGE,G6,BEV Major
XPENG,X9 LONG RANGE,X9,BEV Major
XPENG,X9 LONG RANGE(EXECUTIVE),X9,BEV Major
XPENG,X9 LONG RANGE(LUXURY),X9,BEV Major
XPENG,X9 STANDARD RANGE,X9,BEV Major
XPENG,X9 AWD LONG RANGE,X9,BEV Major
XPENG,X9 FWD LONG RANGE,X9,BEV Major
XPENG,X9 FWD STANDARD RANGE,X9,BEV Major
ZEEKR,ZEEKR 009,ZEEKR 009,BEV Major
ZEEKR,ZEEKR 7X,ZEEKR 7X,BEV Major
ZEEKR,ZEEKR X,ZEEKR X,BEV Major
MG,CYBERSTER,CYBERSTER,BEV Major
MG,EP,EP,BEV Major
MG,ES,ES,BEV Major
MG,HS,HS,OTH
MG,HS PHEV,HS PHEV,OTH
MG,IM5,IM5,BEV Major
MG,IM6,IM6,BEV Major
MG,MAXUS 7,MAXUS 7,BEV Major
MG,MAXUS 9,MAXUS 9,BEV Major
MG,MG EXTENDER,MG EXTENDER,OTH
MG,MG3,MG3,OTH
MG,MG4 ELECTRIC,MG4 ELECTRIC,BEV Major
MG,MG5,MG5,OTH
MG,MG6,MG6,OTH
MG,NEW MG3,NEW MG3,OTH
MG,S5 EV,S5 EV,BEV Major
MG,V80,V80,OTH
MG,VS HEV,VS HEV,OTH
MG,ZS,ZS,OTH
MG,ZS EV,ZS EV,BEV Major
MG,ZS1,ZS1,OTH
